Company Name,Industry,Symbol,Series,ISIN Code
Co 0,Financial Services,SYM0,EQ,INE000000000
Co 1,Financial Services,SYM1,EQ,INE000000001
Co 2,Financial Services,SYM2,EQ,INE000000002
Co 3,Financial Services,SYM3,EQ,INE000000003
Co 4,Financial Services,SYM4,EQ,INE000000004
Co 5,Financial Services,SYM5,EQ,INE000000005
Co 6,Financial Services,SYM6,EQ,INE000000006
Co 7,Financial Services,SYM7,EQ,INE000000007
Co 8,Financial Services,SYM8,EQ,INE000000008
Co 9,Financial Services,SYM9,EQ,INE000000009
Co 10,Financial Services,SYM10,EQ,INE000000010
Co 11,Financial Services,SYM11,EQ,INE000000011
Co 12,Financial Services,SYM12,EQ,INE000000012
Co 13,Financial Services,SYM13,EQ,INE000000013
Co 14,Financial Services,SYM14,EQ,INE000000014
Co 15,Financial Services,SYM15,EQ,INE000000015
Co 16,Financial Services,SYM16,EQ,INE000000016
Co 17,Financial Services,SYM17,EQ,INE000000017
Co 18,Financial Services,SYM18,EQ,INE000000018
Co 19,Financial Services,SYM19,EQ,INE000000019
Co 20,Financial Services,SYM20,EQ,INE000000020
Co 21,Financial Services,SYM21,EQ,INE000000021
Co 22,Financial Services,SYM22,EQ,INE000000022
Co 23,Financial Services,SYM23,EQ,INE000000023
Co 24,Financial Services,SYM24,EQ,INE000000024
Co 25,Financial Services,SYM25,EQ,INE000000025
Co 26,Financial Services,SYM26,EQ,INE000000026
Co 27,Financial Services,SYM27,EQ,INE000000027
Co 28,Financial Services,SYM28,EQ,INE000000028
Co 29,Financial Services,SYM29,EQ,INE000000029
Co 30,Financial Services,SYM30,EQ,INE000000030
Co 31,Financial Services,SYM31,EQ,INE000000031
Co 32,Financial Services,SYM32,EQ,INE000000032
Co 33,Financial Services,SYM33,EQ,INE000000033
Co 34,Financial Services,SYM34,EQ,INE000000034
Co 35,Financial Services,SYM35,EQ,INE000000035
Co 36,Financial Services,SYM36,EQ,INE000000036
Co 37,Financial Services,SYM37,EQ,INE000000037
Co 38,Financial Services,SYM38,EQ,INE000000038
Co 39,Financial Services,SYM39,EQ,INE000000039
