Symbol,MarketCap,AsOf,Source
360ONE,442013524490.4,2026-09-09,pr_live_zip
3MINDIA,372028936750.0,2026-09-09,pr_live_zip
AADHARHFC,206361350438.1,2026-09-09,pr_live_zip
AARTIDRUGS,38648281500.0,2026-09-09,pr_live_zip
AARTIIND,179919386434.2,2026-09-09,pr_live_zip
AARTIPHARM,75214203117.15,2026-09-09,pr_live_zip
AAVAS,102305025114.6,2026-09-09,pr_live_zip
ABB,1568439837562.5,2026-09-09,pr_live_zip
ABBOTINDIA,536013642950.0,2026-09-09,pr_live_zip
ABCAPITAL,1048741225600.0,2026-09-09,pr_live_zip
ABDL,168986887726.65,2026-09-09,pr_live_zip
ABFRL,62648784202.95,2026-09-09,pr_live_zip
ABLBL,102841154144.75,2026-09-09,pr_live_zip
ABREL,149437650272.0,2026-09-09,pr_live_zip
ABSLAMC,308405182293.0,2026-09-09,pr_live_zip
ACC,236180040675.1,2026-09-09,pr_live_zip
ACE,134206761892.0,2026-09-09,pr_live_zip
ACI,59414352112.5,2026-09-09,pr_live_zip
ACMESOLAR,283880733337.6,2026-09-09,pr_live_zip
ACUTAAS,265409803299.6,2026-09-09,pr_live_zip
ADANIENSOL,1709785584358.6,2026-09-09,pr_live_zip
ADANIENT,4038919824908.1,2026-09-09,pr_live_zip
ADANIGREEN,2166036643825.0,2026-09-09,pr_live_zip
ADANIPORTS,4089527398950.0,2026-09-09,pr_live_zip
ADANIPOWER,4144280892104.5,2026-09-09,pr_live_zip
ADVENZYMES,33536856925.0,2026-09-09,pr_live_zip
AEGISLOG,471533400000.0,2026-09-09,pr_live_zip
AEGISVOPAK,329793666700.85,2026-09-09,pr_live_zip
AEQUS,154621962149.25,2026-09-09,pr_live_zip
AETHER,213786688678.4,2026-09-09,pr_live_zip
AFCONS,100828156588.65,2026-09-09,pr_live_zip
AFFLE,223486100323.2,2026-09-09,pr_live_zip
AGARWALEYE,162834181483.6,2026-09-09,pr_live_zip
AHLUCONT,39934633894.0,2026-09-09,pr_live_zip
AIAENG,389341915677.0,2026-09-09,pr_live_zip
AIIL,436459445725.0,2026-09-09,pr_live_zip
AJANTPHARM,441572469465.6,2026-09-09,pr_live_zip
AKUMS,116644684506.8,2026-09-09,pr_live_zip
ALIVUS,171847501144.8,2026-09-09,pr_live_zip
ALKEM,614444535000.0,2026-09-09,pr_live_zip
ALKYLAMINE,99444494708.8,2026-09-09,pr_live_zip
ALOKINDS,36792431371.4,2026-09-09,pr_live_zip
AMBER,254280600070.0,2026-09-09,pr_live_zip
AMBUJACEM,986472422842.0,2026-09-09,pr_live_zip
ANANDRATHI,362069589000.8,2026-09-09,pr_live_zip
ANANTRAJ,220820484248.0,2026-09-09,pr_live_zip
ANGELONE,273137137770.95,2026-09-09,pr_live_zip
ANTHEM,531064820487.95,2026-09-09,pr_live_zip
ANUP,34944892437.0,2026-09-09,pr_live_zip
ANURAS,139987881976.0,2026-09-09,pr_live_zip
APARINDS,700960052280.0,2026-09-09,pr_live_zip
APLAPOLLO,601963422040.0,2026-09-09,pr_live_zip
APLLTD,160670697557.6,2026-09-09,pr_live_zip
APOLLO,150943683128.0,2026-09-09,pr_live_zip
APOLLOHOSP,1289317019319.0,2026-09-09,pr_live_zip
APOLLOTYRE,268171374448.5,2026-09-09,pr_live_zip
APTUS,129331833854.1,2026-09-09,pr_live_zip
ARE&M,152304556652.6,2026-09-09,pr_live_zip
ARVIND,149629306512.0,2026-09-09,pr_live_zip
ARVINDFASN,59605747141.6,2026-09-09,pr_live_zip
ASAHIINDIA,246960717250.0,2026-09-09,pr_live_zip
ASHAPURMIN,52596669558.8,2026-09-09,pr_live_zip
ASHOKA,31884542986.85,2026-09-09,pr_live_zip
ASHOKLEY,980933710184.0,2026-09-09,pr_live_zip
ASIANPAINT,2387443299310.0,2026-09-09,pr_live_zip
ASKAUTOLTD,123657695850.0,2026-09-09,pr_live_zip
ASTERDM,680209587773.65,2026-09-09,pr_live_zip
ASTRAL,396205260392.4,2026-09-09,pr_live_zip
ASTRAMICRO,161985678148.8,2026-09-09,pr_live_zip
ATGL,673413713820.9,2026-09-09,pr_live_zip
ATHERENERG,605331132600.0,2026-09-09,pr_live_zip
ATLANTAELE,142158790637.5,2026-09-09,pr_live_zip
ATUL,183171878732.5,2026-09-09,pr_live_zip
AUBANK,794038327771.5,2026-09-09,pr_live_zip
AURIONPRO,36746243476.8,2026-09-09,pr_live_zip
AUROPHARMA,977509505815.5,2026-09-09,pr_live_zip
AVALON,153184261839.2,2026-09-09,pr_live_zip
AVANTIFEED,109970660254.5,2026-09-09,pr_live_zip
AVL,80465918955.0,2026-09-09,pr_live_zip
AWFIS,18169892925.4,2026-09-09,pr_live_zip
AWL,243715732009.6,2026-09-09,pr_live_zip
AXISBANK,3852229996249.0,2026-09-09,pr_live_zip
AXISCADES,79775376067.3,2026-09-09,pr_live_zip
AZAD,181151789115.0,2026-09-09,pr_live_zip
BAJAJ-AUTO,3295279510020.0,2026-09-09,pr_live_zip
BAJAJELEC,39210462906.2,2026-09-09,pr_live_zip
BAJAJFINSV,3084259826876.0,2026-09-09,pr_live_zip
BAJAJHFL,690917186607.5,2026-09-09,pr_live_zip
BAJAJHLDNG,1232909503780.0,2026-09-09,pr_live_zip
BAJFINANCE,6470634308147.2,2026-09-09,pr_live_zip
BALAMINES,76443679300.0,2026-09-09,pr_live_zip
BALKRISIND,426960345834.0,2026-09-09,pr_live_zip
BALRAMCHIN,141375402721.8,2026-09-09,pr_live_zip
BALUFORGE,64813732945.0,2026-09-09,pr_live_zip
BANCOINDIA,90850141095.0,2026-09-09,pr_live_zip
BANDHANBNK,276611783045.2,2026-09-09,pr_live_zip
BANKBARODA,1210615886103.9,2026-09-09,pr_live_zip
BANKINDIA,642199329177.95,2026-09-09,pr_live_zip
BATAINDIA,84963130317.0,2026-09-09,pr_live_zip
BAYERCROP,177570699701.2,2026-09-09,pr_live_zip
BBOX,135525953335.5,2026-09-09,pr_live_zip
BBTC,101085528720.0,2026-09-09,pr_live_zip
BDL,446509781250.0,2026-09-09,pr_live_zip
BECTORFOOD,74307073519.75,2026-09-09,pr_live_zip
BEL,2967770204574.0,2026-09-09,pr_live_zip
BELRISE,221032899568.25,2026-09-09,pr_live_zip
BEML,174723664200.0,2026-09-09,pr_live_zip
BERGEPAINT,548954123889.6,2026-09-09,pr_live_zip
BHARATFORG,946424255907.2,2026-09-09,pr_live_zip
BHARTIARTL,11057474098144.8,2026-09-09,pr_live_zip
BHARTIHEXA,772400000000.0,2026-09-09,pr_live_zip
BHEL,1510170877063.5,2026-09-09,pr_live_zip
BIKAJI,143345999880.0,2026-09-09,pr_live_zip
BIOCON,640258570335.0,2026-09-09,pr_live_zip
BIRLACORPN,64445774904.3,2026-09-09,pr_live_zip
BLACKBUCK,105614113040.1,2026-09-09,pr_live_zip
BLS,97356137696.6,2026-09-09,pr_live_zip
BLUEDART,116940749925.6,2026-09-09,pr_live_zip
BLUEJET,108890310785.3,2026-09-09,pr_live_zip
BLUESTARCO,299560184637.2,2026-09-09,pr_live_zip
BLUESTONE,133260117306.4,2026-09-09,pr_live_zip
BORORENEW,70415143706.85,2026-09-09,pr_live_zip
BOSCHLTD,1448137724000.0,2026-09-09,pr_live_zip
BPCL,1316953340882.4,2026-09-09,pr_live_zip
BRIGADE,216213041702.0,2026-09-09,pr_live_zip
BRITANNIA,1226019626640.0,2026-09-09,pr_live_zip
BSE,1341857036514.6,2026-09-09,pr_live_zip
BSOFT,77479143033.6,2026-09-09,pr_live_zip
CAMPUS,65672763865.55,2026-09-09,pr_live_zip
CAMS,177308916070.0,2026-09-09,pr_live_zip
CANBK,1125486408340.8,2026-09-09,pr_live_zip
CANFINHOME,104779347657.9,2026-09-09,pr_live_zip
CANHLIFE,142015500000.0,2026-09-09,pr_live_zip
CAPILLARY,36580953774.9,2026-09-09,pr_live_zip
CAPLIPOINT,206987449377.6,2026-09-09,pr_live_zip
CARBORUNIV,208418940538.2,2026-09-09,pr_live_zip
CARTRADE,145370529248.5,2026-09-09,pr_live_zip
CASTROLIND,187102390157.45,2026-09-09,pr_live_zip
CCAVENUE,53753617365.5,2026-09-09,pr_live_zip
CCL,147508293224.0,2026-09-09,pr_live_zip
CDSL,286037400000.0,2026-09-09,pr_live_zip
CEATLTD,133210242974.4,2026-09-09,pr_live_zip
CELLO,74526610471.6,2026-09-09,pr_live_zip
CEMPRO,218015622854.4,2026-09-09,pr_live_zip
CENTRALBK,276791850958.9,2026-09-09,pr_live_zip
